【果物】
・avocado  → アボカド
・apricot  → あんず
・strawberry   → いちご
・fig  	 → イチジク
・orange   → オレンジ
・persimmom  → 柿
・kiwi 	→ キウイ
・chestnut  → 栗
・grapefruit  → グレープフルーツ
・coconut  → ココナッツ
・cherry  → さくらんぼ
・watermelon  → スイカ
・durian  → ドリアン
・pear  → ナシ
・pineapple  → パイナップル
・banana  → バナナ
・papaya  → パパイヤ
・loquat  → びわ
・grape  → ぶどう
・plum  → プラム
・blueberry  → ブルーベリー
・muscat  → マスカット
・muskmelon  → マスクメロン
・mango  → マンゴー
・mandarin orange  → みかん
・melon  → メロン
・peach  → 桃
・yuzu  → ゆず
・lime  → ライム
・raspberry  → ラズベリー
・apple  → りんご
・lemon  → レモン
